slice_file,color_hex,area_px,cross_section_area_um2,slice_volume_um3,slice_thickness_um
z_0026_474.289575.png,#5dade2,897,0.673297,0.030298,0.045000
z_0026_474.289575.png,#7d6608,1019,0.764871,0.034419,0.045000
z_0026_474.289575.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0026_474.289575.png,#ff8000,1632,1.224995,0.055125,0.045000
z_0027_475.301158.png,#008000,2384,1.789454,0.080525,0.045000
z_0027_475.301158.png,#1f618d,1891,1.419403,0.063873,0.045000
z_0027_475.301158.png,#5d6d7e,3095,2.323138,0.104541,0.045000
z_0027_475.301158.png,#5dade2,883,0.662789,0.029825,0.045000
z_0027_475.301158.png,#7d6608,1015,0.761869,0.034284,0.045000
z_0027_475.301158.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0027_475.301158.png,#ff8000,1616,1.212986,0.054584,0.045000
z_0028_476.312741.png,#008000,2154,1.616814,0.072757,0.045000
z_0028_476.312741.png,#1f618d,1979,1.485457,0.066846,0.045000
z_0028_476.312741.png,#5d6d7e,3141,2.357666,0.106095,0.045000
z_0028_476.312741.png,#5dade2,856,0.642522,0.028913,0.045000
z_0028_476.312741.png,#7d6608,1035,0.776881,0.034960,0.045000
z_0028_476.312741.png,#aed6f1,2,0.001501,0.000068,0.045000
z_0028_476.312741.png,#ff8000,1658,1.244511,0.056003,0.045000
z_0029_477.324324.png,#008000,2142,1.607806,0.072351,0.045000
z_0029_477.324324.png,#1f618d,2104,1.579283,0.071068,0.045000
z_0029_477.324324.png,#5d6d7e,3009,2.258585,0.101636,0.045000
z_0029_477.324324.png,#5dade2,788,0.591481,0.026617,0.045000
z_0029_477.324324.png,#7d6608,1051,0.788891,0.035500,0.045000
z_0029_477.324324.png,#ff8000,1597,1.198724,0.053943,0.045000
z_0030_478.335907.png,#008000,2262,1.697880,0.076405,0.045000
z_0030_478.335907.png,#1f618d,2185,1.640083,0.073804,0.045000
z_0030_478.335907.png,#5d6d7e,2755,2.067930,0.093057,0.045000
z_0030_478.335907.png,#5dade2,745,0.559204,0.025164,0.045000
z_0030_478.335907.png,#7d6608,1039,0.779884,0.035095,0.045000
z_0030_478.335907.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0030_478.335907.png,#ff8000,1601,1.201726,0.054078,0.045000
z_0031_479.347490.png,#008000,2333,1.751173,0.078803,0.045000
z_0031_479.347490.png,#1f618d,2210,1.658848,0.074648,0.045000
z_0031_479.347490.png,#5d6d7e,2444,1.834491,0.082552,0.045000
z_0031_479.347490.png,#5dade2,691,0.518671,0.023340,0.045000
z_0031_479.347490.png,#7d6608,1022,0.767123,0.034521,0.045000
z_0031_479.347490.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0031_479.347490.png,#ff8000,1509,1.132670,0.050970,0.045000
z_0032_480.359073.png,#008000,2307,1.731657,0.077925,0.045000
z_0032_480.359073.png,#1f618d,2233,1.676112,0.075425,0.045000
z_0032_480.359073.png,#5d6d7e,2381,1.787202,0.080424,0.045000
z_0032_480.359073.png,#5dade2,698,0.523926,0.023577,0.045000
z_0032_480.359073.png,#7d6608,1047,0.785889,0.035365,0.045000
z_0032_480.359073.png,#808000,1,0.000751,0.000034,0.045000
z_0032_480.359073.png,#aed6f1,2,0.001501,0.000068,0.045000
z_0032_480.359073.png,#ff8000,1476,1.107900,0.049856,0.045000
z_0033_481.370656.png,#008000,2294,1.721899,0.077485,0.045000
z_0033_481.370656.png,#1f618d,2181,1.637080,0.073669,0.045000
z_0033_481.370656.png,#5d6d7e,2164,1.624320,0.073094,0.045000
z_0033_481.370656.png,#5dade2,716,0.537437,0.024185,0.045000
z_0033_481.370656.png,#7d6608,1049,0.787390,0.035433,0.045000
z_0033_481.370656.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0033_481.370656.png,#ff8000,1446,1.085382,0.048842,0.045000
z_0034_482.382239.png,#008000,2242,1.682867,0.075729,0.045000
z_0034_482.382239.png,#1f618d,2127,1.596547,0.071845,0.045000
z_0034_482.382239.png,#5d6d7e,1857,1.393883,0.062725,0.045000
z_0034_482.382239.png,#5dade2,713,0.535185,0.024083,0.045000
z_0034_482.382239.png,#7d6608,1057,0.793395,0.035703,0.045000
z_0034_482.382239.png,#ff8000,1430,1.073372,0.048302,0.045000
z_0035_483.393822.png,#008000,2366,1.775943,0.079917,0.045000
z_0035_483.393822.png,#1f618d,2103,1.578533,0.071034,0.045000
z_0035_483.393822.png,#5d6d7e,1753,1.315819,0.059212,0.045000
z_0035_483.393822.png,#5dade2,771,0.578720,0.026042,0.045000
z_0035_483.393822.png,#7d6608,1046,0.785138,0.035331,0.045000
z_0035_483.393822.png,#aed6f1,1,0.000751,0.000034,0.045000
z_0035_483.393822.png,#ff8000,1371,1.029086,0.046309,0.045000
z_0036_484.405405.png,#008000,2462,1.848002,0.083160,0.045000
z_0036_484.405405.png,#1f618d,2112,1.585288,0.071338,0.045000
