slice_file,color_hex,blob_count,perimeter_px,perimeter_um,slice_area_um2,slice_thickness_um
z_0032_480.480620.png,#1f618d,2,281.865007,6.479655,0.291584,0.045000
z_0032_480.480620.png,#5d6d7e,3,492.859956,11.330114,0.509855,0.045000
z_0032_480.480620.png,#5dade2,4,241.379726,5.548959,0.249703,0.045000
z_0032_480.480620.png,#7d6608,1,153.882251,3.537523,0.159189,0.045000
z_0032_480.480620.png,#aed6f1,1,2.828427,0.065021,0.002926,0.045000
z_0032_480.480620.png,#ff8000,2,244.308658,5.616291,0.252733,0.045000
z_0033_481.496124.png,#008000,7,540.357431,12.422010,0.558990,0.045000
z_0033_481.496124.png,#1f618d,2,289.421356,6.653365,0.299401,0.045000
z_0033_481.496124.png,#5d6d7e,3,509.102597,11.703508,0.526658,0.045000
z_0033_481.496124.png,#5dade2,4,253.379726,5.824821,0.262117,0.045000
z_0033_481.496124.png,#7d6608,1,155.296465,3.570034,0.160652,0.045000
z_0033_481.496124.png,#ff8000,1,210.166522,4.831414,0.217414,0.045000
z_0034_482.511628.png,#008000,7,526.315801,12.099214,0.544465,0.045000
z_0034_482.511628.png,#1f618d,2,285.764502,6.569299,0.295618,0.045000
z_0034_482.511628.png,#5d6d7e,4,449.546248,10.334397,0.465048,0.045000
z_0034_482.511628.png,#5dade2,4,260.651804,5.991995,0.269640,0.045000
z_0034_482.511628.png,#7d6608,1,155.781746,3.581190,0.161154,0.045000
z_0034_482.511628.png,#808000,1,2.828427,0.065021,0.002926,0.045000
z_0034_482.511628.png,#ff8000,1,217.580736,5.001856,0.225084,0.045000
z_0035_483.527132.png,#008000,8,544.658946,12.520895,0.563440,0.045000
z_0035_483.527132.png,#1f618d,2,281.036580,6.460611,0.290727,0.045000
z_0035_483.527132.png,#5d6d7e,3,396.333044,9.111104,0.410000,0.045000
z_0035_483.527132.png,#5dade2,4,261.480231,6.011040,0.270497,0.045000
z_0035_483.527132.png,#7d6608,1,154.024387,3.540790,0.159336,0.045000
z_0035_483.527132.png,#aed6f1,1,2.828427,0.065021,0.002926,0.045000
